iter	RMSE
0	16317.39553
1	16129.3168
2	16000.63778
3	15839.84308
4	15695.4899
5	15599.9999
6	15484.52658
7	15349.79766
8	15218.36338
9	15101.34802
10	15028.10062
11	14928.21703
12	14846.67173
13	14768.34419
14	14702.04391
15	14613.7701
16	14557.60502
17	14488.48105
18	14419.84761
19	14365.65204
20	14317.20294
21	14274.56644
22	14201.54135
23	14166.29144
24	14122.46931
25	14073.93986
26	14036.09847
27	14004.09834
28	13939.65715
29	13897.34277
30	13854.27964
31	13814.03407
32	13787.07138
33	13763.34071
34	13700.92609
35	13654.88934
36	13588.27161
37	13578.64606
38	13551.48222
39	13512.21319
40	13479.94801
41	13432.18869
42	13399.79789
43	13380.50315
44	13331.91488
45	13287.29996
46	13237.57412
47	13194.68647
48	13178.14102
49	13168.61074
50	13127.19016
51	13095.78172
52	13084.72978
53	13055.39059
54	13008.67786
55	12992.37988
56	12965.51944
57	12954.92724
58	12912.93379
59	12873.57492
60	12864.34359
61	12819.085
62	12812.01099
63	12797.51202
64	12787.21146
65	12764.91386
66	12755.55968
67	12737.13357
68	12715.72903
69	12704.31249
70	12675.15277
71	12661.32372
72	12651.61028
73	12639.79756
74	12630.23228
75	12620.12999
76	12595.33385
77	12565.79454
78	12543.0135
79	12537.39993
80	12518.10242
81	12504.08488
82	12496.67612
83	12474.61541
84	12458.13903
85	12435.08517
86	12421.09622
87	12415.63604
88	12406.21003
89	12401.27576
90	12396.90652
91	12382.56033
92	12365.63823
93	12343.38526
94	12327.63332
95	12319.73624
96	12306.78742
97	12280.61468
98	12277.64378
99	12261.57144
100	12249.72807
101	12234.61761
102	12203.59702
103	12187.89604
104	12175.94933
105	12168.63615
106	12154.18095
107	12151.81921
108	12133.5285
109	12102.42711
110	12097.8585
111	12089.63029
112	12073.54786
113	12051.15604
114	12028.92426
115	12009.29778
116	11998.2433
117	11978.14505
118	11963.36979
119	11942.39316
120	11919.127
121	11902.10833
122	11881.06256
123	11869.73922
124	11857.26601
125	11832.46983
126	11812.85009
127	11794.03141
128	11771.02583
129	11755.70141
130	11741.40373
131	11707.84128
132	11680.9015
133	11662.8213
134	11648.27896
135	11644.89736
136	11641.3301
137	11634.08143
138	11619.46541
139	11601.41852
140	11585.03505
141	11566.85928
142	11547.12403
143	11514.03915
144	11502.71119
145	11486.93499
146	11474.34905
147	11471.03373
148	11445.8362
149	11428.50679
150	11414.83595
151	11396.38738
152	11381.66036
153	11377.58974
154	11375.95535
155	11367.42865
156	11353.44742
157	11333.08152
158	11320.11181
159	11309.0555
160	11299.09925
161	11294.75431
162	11278.21135
163	11268.59908
164	11252.26373
165	11237.43838
166	11220.85588
167	11211.89425
168	11193.18557
169	11179.04245
170	11164.61756
171	11151.42009
172	11142.62165
173	11130.38705
174	11123.65818
175	11109.76623
176	11102.31921
177	11089.75645
178	11078.29631
179	11067.03688
180	11063.16581
181	11047.31646
182	11026.96254
183	11014.28302
184	11002.66682
185	10992.81941
186	10959.10576
187	10953.75023
188	10949.14448
189	10927.87046
190	10902.89633
191	10884.60146
192	10867.08237
193	10853.98706
194	10843.01319
195	10827.83811
196	10807.57128
197	10796.56599
198	10784.85726
199	10778.73109
200	10757.56552
201	10737.53883
202	10729.56372
203	10726.07739
204	10714.41615
205	10704.70706
206	10693.91843
207	10685.62757
208	10679.26493
209	10668.8374
210	10661.22485
211	10642.04691
212	10632.04647
213	10620.68602
214	10606.54916
215	10602.73857
216	10593.57378
217	10587.22258
218	10580.04314
219	10562.98293
220	10544.77975
221	10528.73443
222	10524.38916
223	10519.381
224	10504.01762
225	10496.88272
226	10481.14135
227	10475.21422
228	10467.78037
229	10460.655
230	10455.6777
231	10441.67851
232	10436.65814
233	10422.3262
234	10414.52868
235	10408.31686
236	10395.45054
237	10382.29961
238	10376.12078
239	10371.45007
240	10358.27911
241	10354.96817
242	10347.70295
243	10342.19599
244	10338.86927
245	10327.48873
246	10317.42015
247	10308.1081
248	10301.47707
249	10295.17318
250	10290.71452
251	10285.35476
252	10280.26814
253	10271.82726
254	10269.31076
255	10257.42009
256	10253.1932
257	10241.96186
258	10236.546
259	10232.42592
260	10224.64968
261	10214.71208
262	10201.67039
263	10194.62144
264	10185.45639
265	10180.54222
266	10168.39958
267	10163.94062
268	10155.80152
269	10145.91434
270	10135.11901
271	10128.84843
272	10123.12265
273	10119.74978
274	10114.98606
275	10111.23566
276	10103.66536
277	10094.2049
278	10087.16808
279	10080.42861
280	10079.32023
281	10072.31352
282	10068.87517
283	10060.2532
284	10058.74804
285	10054.23816
286	10049.66141
287	10040.67205
288	10037.30975
289	10032.25385
290	10024.26341
291	10017.83409
292	10010.18261
293	9999.642751
294	9990.073812
295	9983.86756
296	9976.92403
297	9968.815333
298	9963.625781
299	9959.742992
300	9955.386897
301	9950.474343
302	9949.475223
303	9940.845016
304	9932.098687
305	9925.620561
306	9918.47784
307	9909.677155
308	9905.679013
309	9900.407973
310	9896.345317
311	9891.813772
312	9886.816529
313	9878.832542
314	9869.307916
315	9866.601353
316	9860.361886
317	9852.446064
318	9842.449131
319	9832.733449
320	9828.964639
321	9823.061988
322	9818.484185
323	9813.183011
324	9810.441058
325	9803.069786
326	9802.576545
327	9796.197982
328	9787.541992
329	9782.690733
330	9778.765389
331	9773.641215
332	9768.871741
333	9762.144636
334	9757.306187
335	9747.762392
336	9742.106994
337	9736.763048
338	9734.160351
339	9731.16957
340	9724.52712
341	9721.103753
342	9718.110264
343	9713.819317
344	9709.121837
345	9702.425422
346	9695.721361
347	9692.225685
348	9688.300401
349	9683.523291
350	9677.938788
351	9673.836334
352	9667.925429
353	9660.787471
354	9652.861936
355	9648.522884
356	9640.973635
357	9636.59701
358	9631.839076
359	9625.023713
360	9621.863364
361	9615.369335
362	9610.825093
363	9606.138094
364	9602.126723
365	9599.8638
366	9596.680134
367	9593.819425
368	9588.146603
369	9578.37007
370	9576.031025
371	9569.872492
372	9564.031844
373	9560.494973
374	9558.117382
375	9554.919474
376	9551.193655
377	9546.977536
378	9543.044777
379	9540.734012
380	9537.657612
381	9532.924704
382	9531.702131
383	9530.50979
384	9525.706351
385	9523.294141
386	9520.301932
387	9518.230457
388	9516.084998
389	9515.652183
390	9509.215548
391	9503.021805
392	9500.237524
393	9493.612174
394	9488.309967
395	9483.890748
396	9479.145354
397	9475.127284
398	9472.659514
399	9469.556741
400	9467.175437
401	9460.587694
402	9455.056373
403	9450.727991
404	9446.178198
405	9444.329824
406	9438.412515
407	9434.495582
408	9427.369473
409	9425.590932
410	9420.408744
411	9418.570057
412	9416.989678
413	9412.819562
414	9409.182834
415	9405.205085
416	9402.580789
417	9397.748627
418	9392.286779
419	9387.729733
420	9385.615403
421	9380.899592
422	9374.266343
423	9370.217537
424	9366.894002
425	9363.412063
426	9355.162886
427	9352.062375
428	9346.354912
429	9341.768282
430	9338.183328
431	9333.940703
432	9331.83595
433	9329.583083
434	9328.82551
435	9325.630843
436	9318.834969
437	9313.759004
438	9311.77087
439	9311.374735
440	9309.121655
441	9304.569405
442	9298.156985
443	9292.469942
444	9290.460387
445	9287.410022
446	9285.521312
447	9283.764272
448	9281.581498
449	9276.009239
450	9274.393956
451	9269.359992
452	9264.185034
453	9261.395729
454	9256.396112
455	9252.760405
456	9252.412924
457	9250.841503
458	9250.330926
459	9248.692308
460	9243.809713
461	9239.481826
462	9236.650753
463	9233.889808
464	9231.78401
465	9228.916465
466	9226.3054
467	9223.319887
468	9219.318058
469	9217.680285
470	9213.182441
471	9210.309881
472	9208.410811
473	9207.261784
474	9203.021675
475	9201.175115
476	9196.612042
477	9192.843676
478	9192.018341
479	9189.921614
480	9187.693343
481	9183.462971
482	9177.188896
483	9175.510172
484	9173.358303
485	9169.740254
486	9167.23475
487	9164.840484
488	9160.623248
489	9158.640961
490	9157.113805
491	9155.092737
492	9150.398525
493	9147.960287
494	9142.343641
495	9141.064561
496	9138.773283
497	9136.467396
498	9132.875267
499	9129.336629
500	9125.253326
501	9124.11738
502	9121.545192
503	9120.063062
504	9118.618295
505	9115.904777
506	9111.522958
507	9108.338064
508	9104.45614
509	9098.653855
510	9093.447909
511	9091.843755
512	9088.250824
513	9086.576304
514	9083.533851
515	9079.755527
516	9079.469529
517	9077.723357
518	9075.565731
519	9073.455995
520	9071.512242
521	9068.111446
522	9064.285319
523	9061.231665
524	9058.342565
525	9055.025991
526	9053.74275
527	9050.527371
528	9049.436075
529	9046.760592
530	9045.76442
531	9044.225531
532	9041.275951
533	9039.39428
534	9036.394094
535	9033.927756
536	9033.506596
537	9031.792814
538	9029.903903
539	9028.420434
540	9027.080385
541	9025.53167
542	9022.043125
543	9020.354264
544	9017.546681
545	9014.913256
546	9012.796412
547	9010.980179
548	9009.297115
549	9005.717668
550	9002.173984
551	8999.104851
552	8996.162825
553	8993.676186
554	8992.456897
555	8991.118916
556	8989.854051
557	8986.818349
558	8983.763379
559	8981.443136
560	8977.644831
561	8973.717254
562	8971.711798
563	8968.343533
564	8965.893883
565	8964.339012
566	8962.771234
567	8957.620035
568	8956.28367
569	8953.739409
570	8952.898076
571	8948.895706
572	8946.826592
573	8944.55222
574	8943.100107
575	8940.86154
576	8938.638458
577	8935.84323
578	8933.538634
579	8929.264424
580	8929.044631
581	8927.391041
582	8926.130187
583	8923.635771
584	8919.918666
585	8918.789359
586	8916.039353
587	8913.901368
588	8912.852461
589	8911.488052
590	8909.881183
591	8907.235548
592	8905.661419
593	8903.154772
594	8900.453121
595	8899.442123
596	8899.040337
597	8896.086853
598	8895.886848
599	8894.00886
600	8893.135244
601	8891.849138
602	8888.884005
603	8887.931177
604	8883.773146
605	8881.314726
606	8879.300387
607	8876.843126
608	8873.866166
609	8872.90139
610	8871.588574
611	8869.249206
612	8867.680922
613	8867.569179
614	8865.517815
615	8864.061257
616	8863.89396
617	8863.054349
618	8861.732441
619	8858.7813
620	8856.319665
621	8855.068807
622	8852.174797
623	8850.645982
624	8849.186909
625	8846.157457
626	8844.14265
627	8842.218001
628	8841.331028
629	8839.536748
630	8838.539586
631	8837.642265
632	8835.586992
633	8834.289757
634	8833.389941
635	8831.616508
636	8829.70665
637	8826.821682
638	8824.780772
639	8824.158894
640	8823.756078
641	8823.18112
642	8820.465305
643	8818.786015
644	8818.102822
645	8817.239029
646	8812.704692
647	8812.106188
648	8809.966928
649	8809.072442
650	8806.064295
651	8804.75759
652	8804.531497
653	8803.290993
654	8802.713489
655	8800.223495
656	8798.244914
657	8796.366934
658	8795.471742
659	8793.863018
660	8792.536848
661	8790.245072
662	8788.01358
663	8786.063393
664	8785.308634
665	8784.305822
666	8782.057859
667	8781.247823
668	8780.896863
669	8780.067462
670	8778.98458
671	8777.268814
672	8776.585964
673	8774.949404
674	8774.209513
675	8772.373616
676	8770.686064
677	8769.201914
678	8765.719303
679	8764.196378
680	8762.699416
681	8761.676214
682	8760.808632
683	8760.23869
684	8759.285546
685	8759.226301
686	8757.128725
687	8755.529622
688	8755.05981
689	8754.187955
690	8753.071438
691	8751.688945
692	8750.639128
693	8749.445286
694	8747.948883
695	8746.258973
696	8745.66935
697	8744.867839
698	8743.761714
699	8743.519658
