iter	Passed	Remaining
0	145	101491
1	148	51746
2	150	34915
3	158	27495
4	160	22302
5	163	18893
6	165	16339
7	166	14418
8	168	12937
9	170	11747
10	171	10767
11	173	9951
12	175	9266
13	177	8684
14	178	8166
15	180	7713
16	181	7311
17	183	6958
18	185	6646
19	187	6359
20	189	6113
21	191	5904
22	193	5709
23	195	5519
24	198	5358
25	200	5189
26	201	5031
27	203	4887
28	205	4756
29	207	4627
30	208	4506
31	210	4401
32	212	4300
33	214	4202
34	216	4113
35	218	4022
36	219	3941
37	222	3868
38	223	3794
39	225	3725
40	227	3656
41	229	3595
42	231	3532
43	232	3473
44	235	3421
45	237	3370
46	239	3323
47	241	3277
48	243	3235
49	245	3186
50	247	3147
51	249	3110
52	251	3073
53	254	3039
54	255	2998
55	257	2959
56	259	2923
57	260	2886
58	262	2849
59	263	2815
60	265	2783
61	267	2750
62	268	2719
63	270	2690
64	272	2662
65	274	2632
66	275	2601
67	277	2574
68	278	2551
69	281	2530
70	282	2503
71	284	2480
72	286	2457
73	287	2433
74	289	2410
75	291	2392
76	293	2371
77	294	2351
78	296	2331
79	298	2311
80	299	2290
81	301	2269
82	302	2251
83	304	2233
84	306	2214
85	307	2196
86	309	2181
87	311	2165
88	312	2148
89	314	2133
90	316	2118
91	318	2101
92	319	2085
93	321	2071
94	322	2056
95	324	2043
96	326	2030
97	328	2019
98	330	2006
99	332	1992
100	333	1980
101	335	1968
102	337	1955
103	339	1944
104	342	1938
105	344	1928
106	345	1915
107	348	1908
108	349	1897
109	351	1885
110	353	1874
111	355	1863
112	356	1852
113	358	1840
114	359	1830
115	361	1819
116	362	1808
117	364	1797
118	366	1787
119	367	1777
120	369	1768
121	371	1759
122	373	1751
123	374	1741
124	376	1732
125	379	1727
126	381	1720
127	382	1710
128	384	1702
129	386	1695
130	388	1686
131	390	1680
132	392	1673
133	394	1664
134	395	1655
135	397	1648
136	399	1640
137	401	1635
138	403	1628
139	405	1622
140	407	1615
141	409	1607
142	411	1601
143	412	1594
144	414	1587
145	416	1581
146	418	1574
147	420	1567
148	421	1560
149	423	1553
150	425	1545
151	426	1538
152	428	1531
153	430	1526
154	431	1518
